Month,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,All Items
1996-12,23.213029251392943,31.788200545162375,23.965667363632186
1997-01,23.08857123110234,31.692665400926316,24.225140070720403
1997-02,22.98268549713877,31.60136445914514,24.455820713425645
1997-03,23.507449313399583,32.55787800790523,25.108224311425083
1997-04,23.568926961336288,32.44991249104583,26.1710616445752
1997-05,23.615227146609683,32.629936198600355,26.616045355312046
1997-06,23.661527331883082,32.80995990615489,27.061029066048885
1997-07,23.659889080359104,32.855938071494776,27.26109288527061
1997-08,23.658250828835133,32.90191623683467,27.46115670449234
1997-09,23.886293663223388,33.1634593366534,26.9565080456049
1997-10,24.114336497611642,33.42500243647212,26.45185938671745
1997-11,24.30994247414175,33.608448904354034,26.432610128355055
1997-12,24.505548450671867,33.79189537223593,26.41336086999266
1998-01,24.614811309698638,34.027737725785116,26.36189071711578
1998-02,24.838258588825692,33.85989036920465,26.458675676705703
1998-03,25.144845120940403,33.72203840939018,26.85494007434225
1998-04,25.291085152232544,33.749262536742094,27.489557774923988
1998-05,25.727273906681408,34.010544034036,27.794523769402645
1998-06,27.019828775441322,34.276382506381076,28.777502103968764
1998-07,27.121836881208182,33.74240931642653,29.600017328830912
1998-08,27.547830556827925,34.35522506939219,29.473732837427796
1998-09,28.044149003576308,34.367240082001885,28.836867199745075
1998-10,28.550159502239097,34.51516492071086,28.837750028191444
1998-11,30.851603536628037,34.60712105558059,29.3026606917973
1998-12,30.866398761143905,35.23396164699541,29.559964201371645
1999-01,31.985464422519822,35.31395629185708,30.128344848578376
1999-02,31.968367132729508,35.15782764011734,30.26236593238898
1999-03,31.80620827699947,35.327859369267635,30.49291652058475
1999-04,31.82202520098531,35.33048960474489,30.671973487346467
1999-05,31.90127747262497,35.943756025405825,30.951743982256268
1999-06,31.869421838269318,36.305661264013345,31.15949271922599
1999-07,31.543781132329862,36.28658229365514,30.77871826830401
1999-08,31.14741677781254,36.191099306805015,29.698264437124706
1999-09,30.462538889356516,36.1733735629755,29.481557797053977
1999-10,30.46936224437859,36.34964185318745,29.263571876616716
1999-11,30.594389359922484,36.62067133848835,29.290366119973033
1999-12,31.285700567319235,36.98796246306372,29.62606215962762
2000-01,31.173797862937064,37.060538496546805,29.379318433645835
2000-02,31.305520273265554,37.24587984016879,29.737676471621498
2000-03,31.862035094743934,37.705835011616074,30.057797395336767
2000-04,32.46098752076965,37.881241139173696,30.65724796139655
2000-05,33.76691376080617,38.31235065192524,31.624031239991403
2000-06,36.292253023262425,38.69864916325948,32.98871689265563
2000-07,35.991111570057384,38.90941235056549,32.831087563097434
2000-08,37.53351907346715,39.40484182439507,33.58788306696037
2000-09,39.360157578154585,39.56595853361511,34.05504015068639
2000-10,39.929789565129454,39.878097467592625,34.26257154914975
2000-11,38.721327501278616,39.97784850514765,33.794157744411024
2000-12,38.396679971013455,40.74893699682207,33.929831562809845
2001-01,38.60610904302506,41.177582931205656,34.56255830615396
2001-02,38.907610017821106,41.21084075129796,35.266938793145286
2001-03,38.03624915055799,41.86865734749185,35.52810297569356
2001-04,37.722087052650686,42.34164576411227,37.77926652297216
2001-05,37.59042136975352,43.003529311504636,38.88468878433931
2001-06,34.9303079064029,42.73870618827963,38.28599934814184
2001-07,36.4144770758514,43.634534275645656,39.06898223716773
2001-08,37.57299812707108,43.86610175009018,39.87259064780323
2001-09,37.215193420144736,43.04828498538121,40.56502828937326
2001-10,38.80358414768073,43.4882058037187,40.88614837837008
2001-11,38.3223370906949,44.35340034896311,39.684193011697154
2001-12,38.45251685085046,45.03456446056978,39.52650652504212
2002-01,40.496723231417604,44.16174775760363,40.97460008073637
2002-02,40.64152332242624,44.79357783769582,41.61297891537798
2002-03,40.722764840806455,45.4362836998607,41.70376538349201
2002-04,41.16631787549929,44.47342291495745,42.60157261218054
2002-05,40.92199107715449,44.832540555033766,42.84358006180201
2002-06,41.804121218623834,45.383325138036064,42.96579606882794
2002-07,41.28338892592372,45.35550542728926,45.15293278236442
2002-08,42.52742763035414,46.96983644537661,44.76958220632207
2002-09,43.22906490109631,48.30503916998089,44.6112671288888
