Month,Month-on-Month Change (%),12-Month Average Change (%),Year-on-Year Change (%)
1996-12,-1.2229877105178133,29.795920620371106,17.517098379712294
1997-01,2.710112389586399,27.521071329818596,16.633050433768503
1997-02,0.16054429105048484,25.320847087303974,15.07829672197822
1997-03,1.960618149394719,23.29561310697173,14.933767821726178
1997-04,-0.11039110261039298,21.921186115256404,13.864638880584664
1997-05,2.5409565502781533,20.015634968955126,10.045613314544283
1997-06,1.6476338665455899,17.99469772537512,8.663835565402692
1997-07,0.7699510115922266,16.49758937926748,8.984870832317668
1997-08,-0.6515993237545388,14.9100013701281,7.286226876976059
1997-09,0.3675371276243169,13.58407567083384,8.594139906335329
1997-10,-2.0898029691325206,12.172661170846524,6.052683965564526
1997-11,-0.006307352669850275,10.904025540895532,6.120406025753297
1997-12,0.8905091087030996,10.205496849530675,8.39102684522652
1998-01,0.6580044773691043,9.379377326325013,6.225416481966931
1998-02,-2.384856344302463,8.447952967898331,3.525887994800044
1998-03,0.26482433566165753,7.380273220771187,1.8040608461496532
1998-04,0.7681920674242235,6.489098128604482,2.6994826571659303
1998-05,2.7152322855987734,5.890871981250953,2.874027819014003
1998-06,3.460643863624412,5.561597864422964,4.708912053707664
1998-07,2.0896742295479385,5.330248964155231,6.080221466652262
1998-08,-0.3144865571371014,5.268109767134149,6.440176903263151
1998-09,-0.8312369973318141,4.993501683184135,5.168872121069128
1998-10,0.72652022071766,5.1798129468754865,8.193986382779556
1998-11,1.9591683804986957,5.538054857019745,10.320647065870148
1998-12,1.3202819938290702,5.759213623465271,10.790590405410441
1999-01,5.296282868345486,6.578983111789526,15.895774082248224
1999-02,-0.7842687159573387,7.744656318697295,17.79610773158258
1999-03,-1.5123271077916627,8.88144699445219,15.708221732924272
1999-04,0.09059018189961421,9.881113258325811,14.930157667187459
1999-05,1.2386817405773343,10.747610839199723,13.27801530069759
1999-06,-0.3291501287175862,11.110465237070926,9.128608088261458
1999-07,-0.9847833528923076,11.063698630709553,5.84217114808952
1999-08,-1.818791568332358,10.845664322296727,4.244959046201572
1999-09,-2.975007254668128,10.544989718535476,1.9914546571786218
1999-10,-0.07142644760789096,9.919265931927228,1.1834872890710102
1999-11,0.9463149526640393,9.029854682081222,0.17833940910259116
1999-12,0.44818615829460384,8.030517676926621,-0.6839273640471077
2000-01,0.8882809578791893,6.223458841066744,-4.841580663800002
2000-02,0.5780685349449044,4.461764816994801,-3.5349546104421563
2000-03,0.6969698737993042,3.1001760717172715,-1.3710296506003488
2000-04,2.1026554766277314,1.9927536803394048,0.6116535160604286
2000-05,2.704186506346076,1.1343372988696245,2.0680815847060785
2000-06,3.3178041899027733,0.906052018300386,5.80275056173754
2000-07,0.008869127051511327,1.0156837445669993,6.864518328759004
2000-08,2.5094520281623716,1.6339182100686145,11.575559010956965
2000-09,0.3338525504833427,2.7090834035861917,15.380639248558168
2000-10,1.1212634776353525,3.955568113380849,16.757756134227805
2000-11,0.8936922297689449,5.290933878934183,16.696890999628437
2000-12,1.4519011177182222,6.801792587272288,17.86296895179747
2001-01,0.4059140344971297,8.673817641906112,17.299442671300213
2001-02,3.6408310104341552,10.738541130320982,20.87139763765194
2001-03,2.5781083079377254,12.804584990852291,23.129418231212767
2001-04,4.249181657649359,14.944036551027963,25.71799458756192
2001-05,0.09877015840329761,16.71400858133778,22.528760248913287
2001-06,0.48653226817820894,17.86435845629866,19.17104043269626
2001-07,-0.20246792587313678,18.880840526300275,18.91921020304916
2001-08,1.6029425221682345,19.384192774858008,17.86758625655922
2001-09,7.081208963322055,20.274960372788883,25.794069629594844
2001-10,-2.9591625313609597,20.58593446227117,20.71805123503023
