Month,Month-on-Month Change (%),12-Month Average Change (%),Year-on-Year Change (%)
1996-12,-1.9789180448825334,29.291516115143935,14.31428118814
1997-01,1.0826850892621707,26.734154372331574,14.316029527234477
1997-02,0.9522365692492087,24.407325832109294,13.351201934885168
1997-03,2.6676822898087664,22.290651987332993,13.745769261340186
1997-04,4.233024685327862,21.15662419058711,17.09300513071443
1997-05,1.7002891085585077,19.66591302968463,12.852413338688379
1997-06,1.6718626106790424,18.23313189085654,11.646048275280108
1997-07,0.7393060283606587,16.442796043120268,8.308682318428495
1997-08,0.7338804062760858,14.836932788192982,7.711904991410634
1997-09,-1.8376817273865385,13.400947447495142,6.526060015818231
1997-10,-1.8720846855745776,11.958108566686974,6.340986680758249
1997-11,-0.07277090839239975,10.983341959963184,8.111032518582007
1997-12,-0.07282390300815678,10.672775472919142,10.21333338738917
1998-01,-0.19486408083476192,10.24786530408845,8.820385104719989
1998-02,0.367139673813611,9.843680283371143,8.189686155903743
1998-03,1.4976728332076732,9.302724570407477,6.956747483422603
1998-04,2.36313206741454,8.34080813043461,5.037992528752028
1998-05,1.1093885066308644,7.639125228861076,4.427699150487797
1998-06,3.536589951032809,7.202686317487618,6.342970305121881
1998-07,2.858188392760866,7.234496170297916,8.579716350344995
1998-08,-0.42663654551347463,7.2032812380631555,7.328810488912225
1998-09,-2.1607905628905826,7.238918110533717,6.975529437859663
1998-10,0.00306145754409215,7.46279192337002,9.019746425357326
1998-11,1.6121599748640847,7.6995082074619035,10.857991509372184
1998-12,0.8780892366077069,7.8617545187995574,11.912922959204849
1999-01,1.9228056006250256,8.323227083800958,14.287496188644695
1999-02,0.4448338748251217,8.835890646654065,14.375966137383273
1999-03,0.7618392716248792,9.377831844512457,13.546768066402421
1999-04,0.5872083985172196,9.918593797684053,11.576816689737669
1999-05,0.912137248114206,10.495023959457583,11.359144841075562
1999-06,0.6712020398231004,10.644501284692225,8.277266757383785
1999-07,-1.2220174903137462,10.213625537056714,3.9820954372382147
1999-08,-3.51039254383754,9.60778765080586,0.7618023849757662
1999-09,-0.7296946275413774,9.179823134178818,2.235647141706849
1999-10,-0.7393975648703446,8.526092598220018,1.4766125928999116
1999-11,0.0915617665173869,7.5959811922414815,-0.041957185914213824
1999-12,1.1460971101541588,6.617775938551901,0.22360635420832864
2000-01,-0.8328603533345245,5.2291037797570254,-2.486118698843441
2000-02,1.2197629389702342,3.924104999710565,-1.7338018512489128
2000-03,1.076482636499037,2.721486547041792,-1.4269514854515393
2000-04,1.9943263246320981,1.7931880582854802,-0.04800971139333399
2000-05,3.153522716103609,1.0810621178673188,2.172049685214958
2000-06,4.3153437406754875,0.920039869325521,5.870519747906471
2000-07,-0.47782801031976874,1.1594096027633327,6.668144127713589
2000-08,2.3051185934930345,2.174845169489231,13.097124372606089
2000-09,1.3908500359927274,3.258291534005366,15.51302812800968
2000-10,0.6093999523861413,4.518632504148229,17.082670883821677
2000-11,-1.3671297382532543,5.767222853639268,15.376358240079725
2000-12,0.401471222999362,6.937426417232317,14.526970813715195
2001-01,1.8648095619715548,8.594848981627038,17.642478276732817
2001-02,2.037987121068838,10.286530652692605,18.59345778679223
2001-03,0.7405354461868825,11.938916236786227,18.199289550090143
2001-04,6.3362897501696835,13.921382944734304,23.231108580077446
2001-05,2.9260024428875226,15.721716888304172,22.959304236855687
2001-06,-1.5396534083579638,16.598887067242444,16.057861458278055
2001-07,2.0450893338477982,17.653324396129676,18.99996356222377
2001-08,2.056896199028685,18.116913158638482,18.711234549416943
2001-09,1.7366256626923757,18.413867198883608,19.116078295258347
2001-10,0.7916180575694227,18.600080394932036,19.3318146587999
2001-11,-2.9397617881482603,18.743450102042033,17.42915243466969
2001-12,-0.3973533910807987,18.869121839548512,16.494850414662054
2002-01,3.663601170462158,18.933079336745863,18.55198830417808
2002-02,1.5579867366215723,18.875214275032064,17.994303842062294
2002-03,0.21816863507572748,18.794047151191506,17.382471594454458
2002-04,2.152820543738997,17.907129146750506,12.764424863241103
2002-05,0.5680716339383878,16.80479070626673,10.181105728836727
2002-06,0.2852609582337351,16.448168986101024,12.22325863335007
2002-07,5.0904135699775,16.173123059432015,15.57232924129977
2002-08,-0.8490048207722936,15.62081414145726,12.28159865952587
2002-09,-0.3536219674860348,14.83297874081255,9.974697442958586
2002-10,-3.427591426593011,13.626526756298205,5.371077663740451
2002-11,3.3051667069642576,13.21475840116375,12.15073180003803
