Month,Month-on-Month Change (%),Year-on-Year Change (%),12-Month Average Change (%)
1996-12,-1.9789180448825334,14.31428118814,29.291516115143935
1997-01,1.0826850892621707,14.316029527234477,26.734154372331574
1997-02,0.9522365692492087,13.351201934885168,24.407325832109294
1997-03,2.6676822898087664,13.745769261340186,22.290651987332993
1997-04,4.233024685327862,17.09300513071443,21.15662419058711
1997-05,1.7002891085585077,12.852413338688379,19.66591302968463
1997-06,1.6718626106790424,11.646048275280108,18.23313189085654
1997-07,0.7393060283606587,8.308682318428495,16.442796043120268
1997-08,0.7338804062760858,7.711904991410634,14.836932788192982
1997-09,-1.8376817273865385,6.526060015818231,13.400947447495142
1997-10,-1.8720846855745776,6.340986680758249,11.958108566686974
1997-11,-0.07277090839239975,8.111032518582007,10.983341959963184
1997-12,-0.07282390300815678,10.21333338738917,10.672775472919142
1998-01,-0.19486408083476192,8.820385104719989,10.24786530408845
1998-02,0.367139673813611,8.189686155903743,9.843680283371143
1998-03,1.4976728332076732,6.956747483422603,9.302724570407477
1998-04,2.36313206741454,5.037992528752028,8.34080813043461
1998-05,1.1093885066308644,4.427699150487797,7.639125228861076
1998-06,3.536589951032809,6.342970305121881,7.202686317487618
1998-07,2.858188392760866,8.579716350344995,7.234496170297916
1998-08,-0.42663654551347463,7.328810488912225,7.2032812380631555
1998-09,-2.1607905628905826,6.975529437859663,7.238918110533717
1998-10,0.00306145754409215,9.019746425357326,7.46279192337002
1998-11,1.6121599748640847,10.857991509372184,7.6995082074619035
1998-12,0.8780892366077069,11.912922959204849,7.8617545187995574
1999-01,1.9228056006250256,14.287496188644695,8.323227083800958
1999-02,0.4448338748251217,14.375966137383273,8.835890646654065
1999-03,0.7618392716248792,13.546768066402421,9.377831844512457
1999-04,0.5872083985172196,11.576816689737669,9.918593797684053
1999-05,0.912137248114206,11.359144841075562,10.495023959457583
1999-06,0.6712020398231004,8.277266757383785,10.644501284692225
1999-07,-1.2220174903137462,3.9820954372382147,10.213625537056714
1999-08,-3.51039254383754,0.7618023849757662,9.60778765080586
1999-09,-0.7296946275413774,2.235647141706849,9.179823134178818
1999-10,-0.7393975648703446,1.4766125928999116,8.526092598220018
1999-11,0.0915617665173869,-0.041957185914213824,7.5959811922414815
1999-12,1.1460971101541588,0.22360635420832864,6.617775938551901
2000-01,-0.8328603533345245,-2.486118698843441,5.2291037797570254
2000-02,1.2197629389702342,-1.7338018512489128,3.924104999710565
2000-03,1.076482636499037,-1.4269514854515393,2.721486547041792
2000-04,1.9943263246320981,-0.04800971139333399,1.7931880582854802
2000-05,3.153522716103609,2.172049685214958,1.0810621178673188
2000-06,4.3153437406754875,5.870519747906471,0.920039869325521
2000-07,-0.47782801031976874,6.668144127713589,1.1594096027633327
2000-08,2.3051185934930345,13.097124372606089,2.174845169489231
2000-09,1.3908500359927274,15.51302812800968,3.258291534005366
2000-10,0.6093999523861413,17.082670883821677,4.518632504148229
2000-11,-1.3671297382532543,15.376358240079725,5.767222853639268
2000-12,0.401471222999362,14.526970813715195,6.937426417232317
2001-01,1.8648095619715548,17.642478276732817,8.594848981627038
2001-02,2.037987121068838,18.59345778679223,10.286530652692605
2001-03,0.7405354461868825,18.199289550090143,11.938916236786227
2001-04,6.3362897501696835,23.231108580077446,13.921382944734304
2001-05,2.9260024428875226,22.959304236855687,15.721716888304172
2001-06,-1.5396534083579638,16.057861458278055,16.598887067242444
2001-07,2.0450893338477982,18.99996356222377,17.653324396129676
2001-08,2.056896199028685,18.711234549416943,18.116913158638482
2001-09,1.7366256626923757,19.116078295258347,18.413867198883608
2001-10,0.7916180575694227,19.3318146587999,18.600080394932036
2001-11,-2.9397617881482603,17.42915243466969,18.743450102042033
2001-12,-0.3973533910807987,16.494850414662054,18.869121839548512
2002-01,3.663601170462158,18.55198830417808,18.933079336745863
2002-02,1.5579867366215723,17.994303842062294,18.875214275032064
2002-03,0.21816863507572748,17.382471594454458,18.794047151191506
2002-04,2.152820543738997,12.764424863241103,17.907129146750506
2002-05,0.5680716339383878,10.181105728836727,16.80479070626673
2002-06,0.2852609582337351,12.22325863335007,16.448168986101024
2002-07,5.0904135699775,15.57232924129977,16.173123059432015
2002-08,-0.8490048207722936,12.28159865952587,15.62081414145726
2002-09,-0.3536219674860348,9.974697442958586,14.83297874081255
2002-10,-3.427591426593011,5.371077663740451,13.626526756298205
2002-11,3.3051667069642576,12.15073180003803,13.21475840116375
2002-12,-0.38154154081445313,12.168535650024538,12.882853970392944
