Month,Imported Food,Food,Food &  Non Alcoholic Bev.,Alcoholic Beverage. Tobacco and Kola,Clothing and Footwear,"Housing Water, Electricity. Gas and Other  Fuel",Furnishings & Household Equipment Maintenance.,Health.,Transport,Communication,Recreation & Culture.,Education,Restaurant &  Hotels,Miscellaneous Goods & Services
1996-12,155.45143810593527,24.911878915418225,24.652448537624476,25.080170109932055,48.294224619194644,13.601667059748793,39.48901761006937,44.84643565346181,23.884198622417703,0.0,27.487030140362613,0.0,0.0,17.257043629532102
1997-01,155.45143810593527,26.199350950017912,25.843920885974462,26.193349347737914,45.326378453884296,13.783016016023666,39.348587741821994,44.326853119526255,23.385829004045092,0.0,27.063875875506277,0.0,0.0,17.041535395692215
1997-02,155.45143810593527,26.25705223524526,25.902834257925033,26.70546976383597,45.73772938984804,13.71242653622859,37.3362820254091,42.446534334930256,22.30293301329621,0.0,33.15510393582984,0.0,0.0,17.063552079737214
1997-03,155.45143810593527,27.002462857164566,26.60238927924533,27.01255416892704,45.96254430936577,13.716532127005395,37.91574040423666,43.45892386704847,22.170257066554573,0.0,33.45937686244201,0.0,0.0,17.881564577208866
1997-04,155.45143810593527,26.86460921509421,26.487986961305193,25.93114887075998,46.91428628496713,14.121386256502369,37.131000980966206,44.66731900701467,21.625230646749248,0.0,33.993496275852166,0.0,0.0,17.222789106091614
1997-05,155.45143810593527,27.635294666358778,27.220144530470602,26.877536941716517,50.808413965011376,14.385354489403014,37.65200300497035,44.266940037813704,22.142801716283085,0.0,33.893961708523236,0.0,0.0,16.30069503852345
1997-06,155.45143810593527,28.62336305032745,28.145505902049933,27.081476067161038,49.58852215954262,12.199210331973575,38.07077842851358,48.4647914601312,24.652306726964333,0.0,37.30255913633408,0.0,0.0,16.70071247562169
1997-07,155.45143810593527,29.046420358117476,28.533518821212354,27.050392955186748,48.312407264488805,12.472287173347178,37.425303204901844,47.49561996334567,24.40081164109538,0.0,36.25422730186257,0.0,0.0,16.65631662208025
1997-08,155.45143810593527,28.722614083127613,28.23005655230127,27.260970282373343,49.91166263142456,12.65526008920849,38.10739589229853,48.39418904297353,23.46014465923293,0.0,36.11460637318358,0.0,0.0,16.507386287625636
1997-09,155.45143810593527,28.0054577126469,27.576758674185907,27.543761116989728,49.19617830954282,14.683664484603046,38.46233494255743,48.53607244489556,24.12528133925607,0.0,36.555447954056646,0.0,0.0,16.500903297171323
1997-10,155.45143810593527,27.04726073023934,26.66944685978383,27.35060251476602,49.79791519244776,14.674953943465399,38.8771262374749,48.506771460657205,24.142490597243423,0.0,36.48758113670258,0.0,0.0,16.499582786679717
1997-11,155.45143810593527,26.961923732536462,26.548197531459117,26.351862364983596,48.296739041372675,15.043723909883177,39.32148889357761,48.726662431027734,24.35178699483247,0.0,36.436865099192076,0.0,0.0,16.796209939163717
1997-12,155.45143810593527,27.00064308818202,26.625105488264406,26.877886646293415,50.550866873022535,15.632458322885547,38.943962172665984,48.809539937485944,24.301012488042453,0.0,36.94545746206223,0.0,0.0,16.93854986972938
1998-01,155.45143810593527,27.26340652187837,26.811262328712466,26.266236847772955,48.97642765247478,15.768366593155768,37.7058471644618,49.576515465520494,25.528095368854043,0.0,35.149811137388966,0.0,0.0,18.353302944959584
1998-02,155.45143810593527,26.241622642639793,25.879727467765147,26.382301831155335,48.59929258169543,15.547009334413046,37.37297643262721,50.78043734326716,25.6670496111609,0.0,35.06877345537342,0.0,0.0,18.41739301430765
1998-03,155.45143810593527,26.32456285195195,25.87822831468974,26.03918277124696,46.37321171357118,15.105355123123895,36.79113298056097,51.38157803859835,28.555525993142332,0.0,34.780585465242844,0.0,0.0,18.642600350481565
1998-04,155.45143810593527,26.49513383755819,26.079404294910074,25.95133542248529,46.30708615110313,15.707200760565406,36.330729230313416,50.94064574650944,27.849880390935066,0.0,35.60143812305461,0.0,0.0,18.165104583100348
1998-05,155.45143810593527,27.607711190202483,27.13749322664282,26.040809980847563,45.8048170372669,16.564412276715828,36.07553446110512,50.12008920732477,25.57783682718886,0.0,36.87652070599696,0.0,0.0,19.30455954658789
1998-06,155.45143810593527,28.395637481457513,27.892613467667303,27.561890539192298,46.28589486321733,18.18717121271106,36.35602733117913,49.73244497523991,26.86392778402538,0.0,35.35847897667339,0.0,0.0,19.42662142868998
1998-07,155.45143810593527,29.036656952384465,28.491538698527535,27.12653283070305,47.46031295173628,18.73576053261784,35.87749316610541,48.72617662359927,25.942435808404475,0.0,35.94457739013953,0.0,0.0,25.703787462551897
1998-08,155.45143810593527,28.28937472976678,27.805890248289945,27.63587875471454,47.744488697278975,19.26692201062856,35.47308356711624,47.28875176417203,28.627035542796175,0.0,36.68961557496815,0.0,0.0,25.985469891963536
1998-09,155.45143810593527,27.71139680377548,27.31685908944496,27.297981516990543,47.24721230555428,19.666199162989713,35.12877161597929,47.97440528106638,28.798019284680805,0.0,35.02403976277514,0.0,0.0,27.602502519793585
1998-10,155.45143810593527,27.627393542290175,27.224513575797204,27.73841069700062,48.833059805878,20.524370720519002,34.87003268963682,48.31063898437681,29.55601268733659,0.0,35.26828047810533,0.0,0.0,25.981361155255854
1998-11,155.45143810593527,26.436896903163788,26.10885012386619,26.935801271251673,47.893408548028084,26.032127204465944,34.851309589509974,48.20730567199539,30.17049892038452,0.0,36.02916515566529,0.0,0.0,26.023932270731194
1998-12,155.45143810593527,27.59891439087379,27.201550160478227,28.599668760995073,48.98791188067259,23.68516268827107,34.96676606332954,48.31628452136689,30.352353703739738,0.0,35.8215351658701,0.0,0.0,33.93378025542476
