Month,Monthly,12-Month Average
1996-12,23.965667363632186,23.68949875263317
1997-01,24.225140070720403,23.942312394187553
1997-02,24.455820713425645,24.1823588127924
1997-03,25.108224311425083,24.435212069216863
1997-04,26.1710616445752,24.75357871749757
1997-05,26.616045355312046,25.006180328034322
1997-06,27.061029066048885,25.241413352213936
1997-07,27.26109288527061,25.41568666960364
1997-08,27.46115670449234,25.57953255667633
1997-09,26.9565080456049,25.717151299370514
1997-10,26.45185938671745,25.848592378117825
1997-11,26.432610128355055,26.01385130629832
1997-12,26.41336086999266,26.217825765161688
1998-01,26.36189071711578,26.39588831902797
1998-02,26.458675676705703,26.56279289930131
1998-03,26.85494007434225,26.708352546211074
1998-04,27.489557774923988,26.81822722374014
1998-05,27.794523769402645,26.91643375824769
1998-06,28.777502103968764,27.05947317807434
1998-07,29.600017328830912,27.254383548371035
1998-08,29.473732837427796,27.422098226115654
1998-09,28.836867199745075,27.578794822294004
1998-10,28.837750028191444,27.77761904241684
1998-11,29.3026606917973,28.016789922703698
1998-12,29.559964201371645,28.27900686698528
1999-01,30.128344848578376,28.59287804460716
1999-02,30.26236593238898,28.909852232580764
1999-03,30.49291652058475,29.21301693643431
1999-04,30.671973487346467,29.478218245802847
1999-05,30.951743982256268,29.741319930207315
1999-06,31.15949271922599,29.939819148145418
1999-07,30.77871826830401,30.038044226434845
1999-08,29.698264437124706,30.056755193076246
1999-09,29.481557797053977,30.11047940951866
1999-10,29.263571876616716,30.1459645635541
1999-11,29.290366119973033,30.144940015902076
1999-12,29.62606215962762,30.150448179090077
2000-01,29.379318433645835,30.08802931117903
2000-02,29.737676471621498,30.044305189448405
2000-03,30.057797395336767,30.008045262344407
2000-04,30.65724796139655,30.006818135181913
2000-05,31.624031239991403,30.062842073326507
2000-06,32.98871689265563,30.215277421112308
2000-07,32.831087563097434,30.386308195678424
2000-08,33.58788306696037,30.710443081498067
2000-09,34.05504015068639,31.091566610967437
2000-10,34.26257154914975,31.50814991701186
2000-11,33.794157744411024,31.883465885715026
2000-12,33.929831562809845,32.242113335980214
2001-01,34.56255830615396,32.674049992022546
2001-02,35.266938793145286,33.13482185214953
2001-03,35.52810297569356,33.5906806505126
2001-04,37.77926652297216,34.18418219731057
2001-05,38.88468878433931,34.78923699267289
2001-06,38.28599934814184,35.23067719729674
2001-07,39.06898223716773,35.75050175346927
2001-08,39.87259064780323,36.274227385206174
2001-09,40.56502828937326,36.816726396763414
2001-10,40.88614837837008,37.36869113253178
2001-11,39.684193011697154,37.85952740480562
2001-12,39.52650652504212,38.32591698499164
2002-01,40.97460008073637,38.86025379954018
2002-02,41.61297891537798,39.3890904763929
2002-03,41.70376538349201,39.903729010376104
2002-04,42.60157261218054,40.305587851143464
2002-05,42.84358006180201,40.635495457598694
2002-06,42.96579606882794,41.02547851765587
2002-07,45.15293278236442,41.53247439642226
2002-08,44.76958220632207,41.940557026298826
2002-09,44.6112671288888,42.27774359625845
2002-10,43.0821751614845,42.460745828184656
2002-11,44.50611287155791,42.86257248317306
2002-12,44.33630356275115,43.26338890298214
2003-01,45.31430101500627,43.62503064750464
2003-02,44.63892512313126,43.877192831484074
2003-03,44.148444718740706,44.08091610942146
2003-04,46.1236565413285,44.374423103517124
2003-05,46.55926995064718,44.68406392758755
2003-06,48.97569606108576,45.18488892694237
2003-07,50.98705652295372,45.67106590532483
2003-08,50.339882670639724,46.13525761068462
2003-09,52.80752397802403,46.81827901477922
2003-10,53.24983704255517,47.66558417153512
2003-11,53.980817580780325,48.45514289730366
2003-12,54.893379271813025,49.334899206392144
2004-01,55.46140236521091,50.18049098557586
2004-02,55.73144613092467,51.10486773622531
2004-03,54.064624266691496,51.93121603188788
