Month,Month-on-Month Change (%),12-Month Average Change (%),Year-on-Year Change (%)
1996-12,-2.136665689743751,29.18801033492383,13.661808045849355
1997-01,0.7399026340155075,26.572757820164014,13.830410955141346
1997-02,1.1222507217240434,24.219904911089913,12.990504287748038
1997-03,4.362095022296984,22.240954831483847,15.202713657669207
1997-04,0.5625018894088782,20.839352579073818,14.316470566422822
1997-05,1.248624932216913,19.096995349541942,9.81171777710395
1997-06,1.4919943089934122,17.438075933880626,8.48304279580465
1997-07,3.2801652206196508,15.509221079102929,7.167568381633487
1997-08,-2.7150653549231407,13.44456765205264,2.852473058142891
1997-09,-3.3745488910362837,11.449286078148617,0.10812199268382017
1997-10,0.2626973562126551,9.685276163267773,2.516163997742666
1997-11,-0.7982714235892416,8.39573373255189,3.819926039682116
1997-12,4.251732249522803,8.19148653873117,10.597162951149159
1998-01,-0.3709191102474847,7.875929561789903,9.377648833627546
1998-02,0.9410926680265987,7.605777184150014,9.18170143491676
1998-03,1.7463222420759337,6.9346771424704485,6.445128135476395
1998-04,2.6801267287314516,6.529611349290846,8.686628129305603
1998-05,0.7961696048969173,6.415662459950028,8.200934185921454
1998-06,3.5516852214577455,6.596593498808218,10.396777142602275
1998-07,3.0108062578973573,6.863255660700446,10.108857760255319
1998-08,-0.4487090575873083,7.706687649176928,12.673961022007234
1998-09,-2.422816041619342,8.8536753194076,13.78376706945987
1998-10,-0.1418417774539904,9.74818568246279,13.324673231279235
1998-11,1.542052459850396,10.741395922938011,15.998179460980396
1998-12,0.7883842572336164,10.873075505505938,12.144602611208441
1999-01,1.2348369946427766,11.250650941618105,13.95207567695627
1999-02,0.7055464737355948,11.61920199832916,13.686168333892894
1999-03,1.2223451060099393,12.165532767273504,13.100702917735802
1999-04,0.7028398472385078,12.337507979391987,10.922749468596791
1999-05,0.8461438625970032,12.554124160860553,10.977744436049178
1999-06,0.8741562889484413,12.329151859982645,8.108200391868152
1999-07,-1.269574075188899,11.711597354823923,3.6160094110095287
1999-08,-3.8504735171203066,10.57665093675557,0.07534956706129492
1999-09,-0.26875669440397587,9.601997406419983,2.2845570212620743
1999-10,-0.8728036688935532,8.617802282407624,1.5358338864061665
1999-11,-0.08052822392878056,7.307197894294319,-0.08664742832435479
1999-12,1.288053594693423,6.333468363478659,0.40868384472649666
2000-01,-1.1800410932353884,5.0282268785382485,-1.986487004041166
2000-02,1.351911792821241,3.8145634188360873,-1.3574001481462972
2000-03,1.1540417578451496,2.646392428454817,-1.4239627221955828
2000-04,1.9722876740015067,1.7540956812273123,-0.18132511154782094
2000-05,3.2450532402288275,1.0715250501199307,2.19314302457596
2000-06,4.517479685969221,0.9241229090270622,5.88410493884497
2000-07,-0.5753176480945683,1.1898456672329019,6.628664882675309
2000-08,2.2639483529555378,2.286327816977419,13.409484969726975
2000-09,1.6043310607028616,3.371443349296797,15.53946861947307
2000-10,0.5073119336486087,4.634587817783725,17.14808693264054
2000-11,-1.8207910935483085,5.8655419986788075,15.107759233623838
2000-12,0.18486198153802036,6.966343334759472,13.854048553154243
2001-01,2.169453251766001,8.580153655036483,17.713122124962837
2001-02,1.70906169602884,10.196304058023742,18.127926635598342
2001-03,0.35627823556372107,11.763510971044909,17.196296527745474
2001-04,6.782390073848092,13.714029018656149,22.724525814739934
2001-05,3.5159618153649035,15.520540534774298,23.04654731000096
2001-06,-1.9485008405021773,16.342358863664217,15.43426483680605
2001-07,2.5087686036590924,17.40433746969576,19.01495748518103
2001-08,2.1484420154157107,17.860114673313745,18.880531012577762
2001-09,0.6640427848152939,18.036601572165594,17.78036167554791
2001-10,1.593846748790952,18.19771662096474,19.0536268842028
2001-11,-3.2514351726854613,18.356712901464945,17.318805751512897
2001-12,-0.5698012214928099,18.53418152476533,16.435077571695672
2002-01,3.7038826352319774,18.56472508566678,18.183754877934064
2002-02,1.8472466552346134,18.577912857314345,18.344322845765674
2002-03,-0.001306887733989015,18.623713790165297,17.92264350471784
2002-04,2.4656937486386283,17.814868666689904,13.15560053514426
2002-05,0.5176225500616454,16.676696281425635,9.878049187279217
2002-06,-0.011842953971097359,16.35539878014191,12.048298416911535
2002-07,5.576999951353542,16.06411668192058,15.4020612836554
2002-08,-0.2804672584525889,15.532977122172099,12.65800438621308
2002-09,-1.2945816014319718,14.896129486978055,10.466012999889827
2002-10,-3.5612010836048853,13.659696127370609,4.860776077652034
2002-11,3.8486701869462507,13.291119258771758,12.556213829860212
2002-12,-0.731615121671652,12.980880566531312,12.373038495073388
2003-01,2.319525367377608,12.409810154627763,10.872955483729257
2003-02,-1.4692111918558055,11.514366933064764,7.262592952390065
2003-03,-1.144077863900634,10.565552159248654,6.036811152254401
2003-04,4.4828117457350345,10.148423896507893,8.124229412014799
2003-05,0.7797293949724349,10.016851125209186,8.406171024944214
2003-06,4.750000000000014,10.168331083242066,13.568914062847014
2003-07,3.02625298329356,9.815981744816554,10.825081946522914
2003-08,-1.5659747961452695,9.552118781863257,9.396410207988907
2003-09,5.224512849477534,10.100074686078898,16.62160151265053
2003-10,1.610305958132031,11.598693260053295,22.87540641501309
2003-11,0.6163056876210504,12.171195310160627,19.05082107539296
2003-12,3.316415820791036,13.156596847651386,23.905553103414405
2004-01,0.8554247480308135,14.111391122823335,22.132575791529277
2004-02,0.4198857910648286,15.530915903588678,24.474181732524585
2004-03,-5.51931761164073,16.563946440204518,18.965109785031274
2004-04,1.0090281465746216,17.10508870132601,15.009827185542562
2004-05,3.803014370837701,17.917816936073876,18.459999999999994
2004-06,-0.10974168495694414,17.816861230354775,12.964200477326955
2004-07,1.5042677258514345,17.79736813741431,11.295404002965157
2004-08,0.26642244609107024,18.08834474160608,13.367222065329926
2004-09,1.4448227185916949,17.38766542296662,9.295043836106615
2004-10,2.349185561103397,16.295420448833454,10.089804543053376
2004-11,-0.0159948816378801,15.44752777300316,9.397969898494935
2004-12,3.2610782274836083,14.239690926743648,9.33937494706531
2005-01,-0.3385051550384759,13.067624040677472,8.04501175680214
2005-02,1.686615886833522,11.896586556916048,9.407927747114925
2005-03,1.6127799434380279,11.881997159364886,17.666843689148507
2005-04,1.8053257108470007,12.221444162190735,18.594461969856283
2005-05,1.1748189744347712,12.056392054848857,15.59176093196018
2005-06,1.1757832469144773,12.41965643439731,17.0793543480098
2005-07,9.585679226216243,13.718231645752212,26.40079926733827
2005-08,3.0628375708075453,15.138278126784726,29.926098148301918
2005-09,-2.294369527705001,16.466740835748567,25.13710403536055
2005-10,-2.8061224489795933,17.183917337363354,18.833973128598828
2005-11,-3.062117235345582,17.632814516635392,15.21356582946727
2005-12,-2.777006387114696,17.492386201491698,8.47657188005914
2006-01,0.8926021136818321,17.586900110522933,9.816570806777563
2006-02,0.6794536060584591,17.463472028948004,8.728884812351907
2006-03,3.543057996485061,16.851051738915857,10.794343312772668
2006-04,2.8922533776902952,16.281107547859946,11.97724250036947
2006-05,0.026393929396235194,15.834053054075142,10.70620024830204
2006-06,-0.8575763572795267,15.07940873997724,8.481305038256082
2006-07,2.229023887151513,12.880568892902573,1.1987880384666028
2006-08,3.345482947149179,10.501426970896958,1.4763213395539054
2006-09,0.8565310492505205,8.87843330998976,4.748822605965458
2006-10,-3.7841888347695374,7.669707644994347,3.6947304663840157
2006-11,-0.7917964693665738,6.978258587528785,6.123299083587909
2006-12,-1.347638361899783,6.922478610318919,7.6835189945730065
2007-01,-0.5968169761273003,6.636213158956792,6.093849529336822
2007-02,0.6671114076050628,6.431239941201454,6.0808435852372895
2007-03,0.0,5.759213589323991,2.4509471111413177
2007-04,1.3916500994035914,4.863303438393785,0.956779940613643
2007-05,0.09803921568627061,4.081297591077643,1.029091628735415
2007-06,1.8674502122102439,3.71520161970642,3.8059751147781213
2007-07,0.5448368694314354,3.790057980133966,2.095808383233532
2007-08,2.7030473033278213,3.785706670856186,1.4611412016626701
2007-09,1.1731843575418992,3.5239090467116654,1.779692768827303
2007-10,-2.9142892201975457,3.4390355324293296,2.6998961578400724
2007-11,-0.8657735085945433,3.1555604834238693,2.6233154520476347
2007-12,0.05737234652896461,2.8833436204920133,4.084880636604794
2008-01,1.7392966360856263,2.9344493382405687,6.531020680453608
2008-02,-0.3381551756528154,2.898756428033323,5.467196819085501
2008-03,1.0744580584354395,3.2390230082324223,6.600397614314119
2008-04,1.5106303618052976,3.717716998388582,6.725490196078425
2008-05,2.602731336885313,4.412436631056778,9.396016976820107
2008-06,4.583979945087719,5.1302490022557805,12.31331324915071
2008-07,2.4711790891450676,6.17523195011313,14.465128139742461
2008-08,0.952380952380949,7.131967346056129,12.513966480446939
2008-09,1.4233697451174976,8.092629078837277,12.792195840235593
2008-10,-0.7996083550913795,9.150055743761826,15.248988877654199
2008-11,0.03290014805065766,10.288490476804697,16.29374641422831
2008-12,0.6742312119717155,11.354773740143969,17.010703363914374
2009-01,0.7895023412828124,12.12839764050149,15.918341787212725
2009-02,0.7238939009237839,13.085966513167648,17.153628652214877
2009-03,0.7079646017699162,13.91169889386137,16.728832525177182
2009-04,0.6390797251957281,14.644362445346104,15.72662134852105
2009-05,2.058527808646886,15.103982162578959,15.112808881461163
2009-06,1.9496007466555767,15.06728492807295,12.213217669215837
2009-07,2.253077001322353,14.832318782947397,11.97438039543303
2009-08,1.318080079582188,14.796479647964802,12.380006620324366
2009-09,0.6725576828669801,14.661393179423428,11.548085291557882
2009-10,0.7070756327107972,14.487812099082205,13.242309590393162
2009-11,0.8473755568467993,14.32100810852954,14.1643370059749
2009-12,2.7845158142753945,14.315505184879768,16.557394689312517
2010-01,0.7812603112305965,14.390245629803331,16.5478632447918
2010-02,1.921894778401196,14.493903105333203,17.934072981408193
2010-03,-1.5023429620227233,14.401444797344595,15.345692066646862
2010-04,1.5353615647136962,14.472944349352758,16.37294956292233
2010-05,1.5509753054490716,14.539754450184986,15.79420927415471
2010-06,2.2414799545004627,14.862266700796198,16.12572525684061
2010-07,0.9395238529599652,15.072096910454817,14.633962695846805
2010-08,2.1326585938912075,15.329899711248459,15.555598429062357
2010-09,0.7255353034861116,15.658289661480666,15.61640805578584
2010-10,0.13054281935951906,15.785545426276457,14.954521563826972
2010-11,-0.3266948347526437,15.71902962888781,13.616215044660422
2010-12,1.9873494959467166,15.385443248625336,12.735041269290903
2011-01,3.3006302568888515,15.311089792531419,15.553236575831875
2011-02,-0.7871713896516752,14.8557906027617,12.481851722781315
2011-03,1.9476965352542237,14.95588411390456,16.421710221352697
2011-04,-1.3465268437039128,14.687072385578446,13.117301077537007
2011-05,1.4823351452565134,14.457432628902552,13.040843026364612
2011-06,1.1463565224700858,14.095310002809839,11.830046038393306
2011-07,0.8215335084586144,13.840473979857109,11.699325532153424
