Month,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,All Items
1996-12,21.6713145855368,25.58985638853436,22.630307762529192
1997-01,21.556435089319955,25.390330379384164,23.24361453700303
1997-02,21.47916509641853,25.49600524703446,23.28093083317597
1997-03,21.50532733610882,25.458256429927133,23.73738098843925
1997-04,21.581550094887138,25.3926914666495,23.71117703183528
1997-05,21.926955997947534,25.886569396489907,24.313667737773745
1997-06,21.52941660171707,26.292778212495136,24.71426796162067
1997-07,21.487024424471706,26.233169050485337,24.904555717798782
1997-08,21.466772737931393,26.110900202056275,24.742277801157535
1997-09,22.60290589612104,26.35611588211471,24.83321485829674
1997-10,22.606676571786515,26.35064009491339,24.314249596856992
1997-11,22.68856715531334,26.550368797617196,24.31271601138589
1997-12,23.096218325138818,26.78057539795936,24.5292229620404
1998-01,23.116140428292514,26.902439192507487,24.690626347394478
1998-02,23.043969369443023,26.946303449676094,24.101790378500624
1998-03,23.076428729943416,27.04939880799036,24.165617784753053
1998-04,23.24532903132168,27.00571168872275,24.351256143619583
1998-05,23.44576091838814,27.020828065188557,25.012449312379996
1998-06,24.31798674228565,27.369646840322403,25.87804110465104
1998-07,24.68941984132127,27.25400139424994,26.418807860726755
1998-08,25.4328572825821,27.886472176286816,26.33572426144889
1998-09,25.73433621050477,28.22413994068043,26.116811977872434
1998-10,26.15496653855958,28.309562981848472,26.306555897898487
1998-11,28.666573889317036,28.53041168677104,26.821945623048332
1998-12,27.9869959008243,29.041911826502336,27.176070941504065
1999-01,31.129835151633785,29.748966425114386,28.615392531068363
1999-02,31.254264325605874,29.576561945519273,28.3909709594988
1999-03,30.626936575117767,29.932785993903867,27.961606609513044
1999-04,29.992460040335867,30.326126195679436,27.986937079802658
1999-05,30.166531227148923,30.540151110018403,28.33360615915704
1999-06,29.76700889068266,30.329489988307508,28.240346058013838
1999-07,29.244968916518836,30.84031624655469,27.96223983123534
1999-08,29.156287043850686,31.0713881165395,27.453664970867962
1999-09,28.259762782401737,30.262820390770788,26.63691644631236
1999-10,28.525148629293184,30.593170717501295,26.617890643142477
1999-11,28.59426920304556,31.14331539722686,26.869779722382297
1999-12,28.573058188579036,30.70076360618813,26.990206355862263
2000-01,29.154639624180025,31.39469713634347,27.229955219413686
2000-02,29.079361949252895,31.90382451435414,27.387363022616707
2000-03,29.41452639308273,32.08859263893862,27.578244692112396
2000-04,29.687143046938147,32.04261478620136,28.158120164488892
2000-05,30.87258531901248,32.41000796562234,28.91956825041771
2000-06,32.4807167281321,32.947718894420525,29.87906289753186
2000-07,32.2761406295798,33.506753012906564,29.881712909582042
2000-08,33.84842960848002,34.34273949683269,30.631580160241207
2000-09,34.706090684808544,34.00883876394603,30.733844471859523
2000-10,35.107106265048216,34.063266827185544,31.078451845195737
2000-11,35.44307677296912,34.610993379298236,31.356197554468736
2000-12,35.439201989671,34.844586610259526,31.811458537236003
2001-01,35.41309840300253,35.889397419522915,31.940585712016876
2001-02,35.79053790459055,36.42137852859821,33.10348846153429
2001-03,34.77680702637634,36.8598284913379,33.95693224777831
2001-04,34.61000039680012,36.95040164292972,35.39982398435133
2001-05,34.21351872212129,36.807634366509674,35.43478844657516
2001-06,32.939476640255236,37.91488611308841,35.60719012652844
