Month,Month-on-Month Change (%),Year-on-Year Change (%),12-Month Average Change (%)
1996-12,0.9921663317913385,12.920375392474085,23.986386866037464
1997-01,-0.30053649655421566,11.414292100445351,21.83012481978541
1997-02,-0.2880822443495248,8.802617696369381,19.56081973079806
1997-03,3.0268109150688502,10.026269050057508,17.614696372496553
1997-04,-0.3316110369145946,8.642118559997897,16.021381241785377
1997-05,0.5547740925470919,7.436211402083586,14.388149626275904
1997-06,0.5517133299275372,8.219639109475025,13.127979515135337
1997-07,0.14013478063186824,6.15076843949609,11.772441930449219
1997-08,0.13993867787260683,5.498985385392814,10.537537533606795
1997-09,0.794917529836539,5.218478587635133,9.401596796331077
1997-10,0.7886484252553458,6.507943709870119,8.643197525624217
1997-11,0.5488300808072353,6.775155677019612,8.053373485432587
1997-12,0.5458343775517989,6.3032659688517185,7.526944061637735
1998-01,0.6979257924163704,7.367863495604098,7.213771799480156
1998-02,-0.4932662815644022,7.146925294885207,7.0839526530739505
1998-03,-0.4071246489913136,3.5756642407784796,6.546774182617071
1998-04,0.08073096596774576,4.004171185530339,6.16221558094054
1998-05,0.7741843159075188,4.231107983272324,5.894256432080482
1998-06,0.7816354601062301,4.469443438579447,5.587359381745841
1998-07,-1.5578458136739926,2.698054893464885,5.294692308373314
1998-08,1.8161588498878416,4.417094804133299,5.203302321312748
1998-09,0.03497288283055866,3.629840702468641,5.067339406500054
1998-10,0.4304239687447051,3.261518039709088,4.796197845828502
1998-11,0.266422411948426,2.9714913475140463,4.480438241865414
1998-12,1.8113052235928109,4.267491535690283,4.314892599359283
1999-01,0.22703846267168615,3.77991207184283,4.0244576531224965
1999-02,-0.44211600209672497,3.8332589289572923,3.7603205849138277
1999-03,0.4836241046823915,4.7619332508390215,3.8599795070264804
1999-04,0.007445216110497199,4.685219614151109,3.9178312080702824
1999-05,1.7357993832572731,5.684154859255301,4.0418625361073595
1999-06,1.0068653881127858,5.92034108982908,4.166700095508702
1999-07,-0.052550951267534174,7.539986114714253,4.56760273587966
1999-08,-0.2631357951471216,5.343799185435813,4.6455319601397065
1999-09,-0.048978185711490596,5.255392858617952,4.779811211248926
1999-10,0.4872873963637403,5.314988170245741,4.949458815499469
1999-11,0.7456180349604438,5.818312016402373,5.185495603956895
1999-12,1.002961199647217,4.978153843843657,5.24327278724445
2000-01,-21.235885370837806,-17.502188334200554,3.4134451814324507
2000-02,1.579168209949927,-15.827268000899878,1.741311953433609
2000-03,0.6354326765835765,-15.700101585957555,0.00968945345456973
2000-04,1.8507028894620134,-14.146352919759195,-1.57098149886572
2000-05,2.3251722786484947,-13.648988050496612,-3.199213524973601
2000-06,1.7487840178556695,-13.014720031027636,-4.791176224529224
2000-07,-0.042263989604961694,-13.005767183818776,-6.480522802854722
2000-08,0.7285261427164187,-12.140802457032748,-7.919775595556402
2000-09,-1.2180896105092813,-13.168477709937122,-9.426992422705212
2000-10,0.08145590911934164,-13.519158544734395,-10.962578388248474
2000-11,-0.04701426823217503,-14.19956043100737,-12.587920249999925
2000-12,1.1589971162105428,-14.06701035454752,-14.147291196299989
2001-01,2.8366428394544556,12.196527643364604,-12.066646462237458
2001-02,3.0561220403344294,13.827857119465563,-9.928555338763772
2001-03,2.7937601648874164,16.269122451381122,-7.555501615788103
2001-04,10.992249350169004,26.704785187930597,-4.450641361984424
2001-05,5.154814064804867,30.20860684480894,-0.9763491823156301
2001-06,1.9409316177741402,30.45449942756025,2.5972059568976107
2001-07,1.8736589184453294,32.95496386270415,6.4532670647528505
2001-08,1.4391483908384686,33.89293802888261,10.406267430897614
2001-09,2.9442005864886482,39.534672038758174,14.98352650391233
2001-10,-1.683615540859833,37.07378991368731,19.522167160292184
2001-11,-4.118937362905186,31.489625251295422,23.805697071162342
2001-12,-0.8438297326447071,28.886288333110315,28.01823155738478
2002-01,3.150321285333007,29.279424957401886,29.35937671619692
2002-02,1.8699989547887839,27.79148511072276,30.43412680740721
2002-03,0.5775378147045274,25.036314514655913,31.04697805407858
2002-04,1.9282778569955212,14.82546108112659,29.790855719867636
2002-05,1.721656936335819,11.076570897197684,27.87168330604841
2002-06,1.2388327947420805,10.311552092133525,25.910428315934908
2002-07,6.301076383489686,15.105679421160218,24.30454673731623
2002-08,-2.647051652959732,10.46896036590988,22.23354759644313
2002-09,-1.480866231617,5.7204409917162735,19.379951808510114
2002-10,-6.345070676131101,0.7079388001940856,16.39387494501925
2002-11,2.1181600845002038,7.259026269901952,14.56458886054773
2002-12,0.8925921496188352,9.137345287096338,13.137531784888196
2003-01,1.648431257189543,7.548282950282783,11.560583058853496
2003-02,-1.9849557158992894,3.47845120455284,9.748504021451481
2003-03,-2.69587213171107,0.11062774444081924,7.864218059486916
2003-04,5.214591254214767,3.338337503475117,6.944551461152784
2003-05,1.6832567499219806,3.2993270160003334,6.299505040573834
2003-06,4.122500296323878,6.241685239897009,5.974594385483385
2003-07,0.1800760672693258,0.124104768715668,4.701783684916876
2003-08,-1.8790144760809255,0.9140041612841969,3.898767445243621
2003-09,3.712750366389855,6.233870738831953,3.95225941191741
2003-10,-0.20725388601034922,13.196067392095998,4.972076357105408
2003-11,1.3593882752761033,12.35498305625326,5.408283624135279
2003-12,3.660240290583957,15.4370632502349,5.958613921737708
2004-01,-1.4645103324348412,11.901850451263755,6.334156978866858
2004-02,0.31913923588948023,14.532390391369688,7.234991053563775
2004-03,-1.7996727867660525,15.587267049661847,8.472260500673599
2004-04,4.118844872269548,14.383495517987257,9.385336057738499
2004-05,4.94266156991732,18.049999999999983,10.624199514989698
2004-06,1.0249894112664037,14.538163855647014,11.332902991564907
2004-07,-1.8363239979875914,12.232767711628796,12.400957948452685
2004-08,1.7083796019475699,16.3361016121153,13.727194193025298
2004-09,2.124800537498956,14.554875176636827,14.43118076327994
2004-10,0.5016447368420813,15.368639667705054,14.610146448065194
