Month,Monthly,12-Month Average
1996-12,31.788200545162375,30.495331523314373
1997-01,31.692665400926316,30.765905233314495
1997-02,31.60136445914514,30.978962859980687
1997-03,32.55787800790523,31.226202335474863
1997-04,32.44991249104583,31.441309204037307
1997-05,32.629936198600355,31.629516311959538
1997-06,32.80995990615489,31.837185049233216
1997-07,32.855938071494776,31.99583460488495
1997-08,32.90191623683467,32.13874842523816
1997-09,33.1634593366534,32.27581465539982
1997-10,33.42500243647212,32.446011690148225
1997-11,33.608448904354034,32.62372349956242
1997-12,33.79189537223593,32.79069806848523
1998-01,34.027737725785116,32.985287428890125
1998-02,33.85989036920465,33.17349792139508
1998-03,33.72203840939018,33.270511288185496
1998-04,33.749262536742094,33.378790458660184
1998-05,34.010544034036,33.49384111161316
1998-06,34.276382506381076,33.61604299496533
1998-07,33.74240931642653,33.689915598709646
1998-08,34.35522506939219,33.811024668089445
1998-09,34.367240082001885,33.91133973020182
1998-10,34.51516492071086,34.002186603888376
1998-11,34.60712105558059,34.085409283157254
1998-12,35.23396164699541,34.205581472720546
1999-01,35.31395629185708,34.31276635322654
1999-02,35.15782764011734,34.420927792469264
1999-03,35.327859369267635,34.55474620579239
1999-04,35.33048960474489,34.686515128125954
1999-05,35.943756025405825,34.84761612740677
1999-06,36.305661264013345,35.0167226905428
1999-07,36.28658229365514,35.22873710531186
1999-08,36.191099306805015,35.381726625096256
1999-09,36.1733735629755,35.53223774851072
1999-10,36.34964185318745,35.685110826217105
1999-11,36.62067133848835,35.852906683126086
1999-12,36.98796246306372,35.999073417798435
2000-01,37.060538496546805,36.14462193485591
2000-02,37.24587984016879,36.31862628486021
2000-03,37.705835011616074,36.51679092172258
2000-04,37.881241139173696,36.72935354959164
2000-05,38.31235065192524,36.92673643513493
2000-06,38.69864916325948,37.12615209340544
2000-07,38.90941235056549,37.34472126481464
2000-08,39.40484182439507,37.61253314128047
2000-09,39.56595853361511,37.89524855550044
2000-10,39.878097467592625,38.189286523367535
2000-11,39.97784850514765,38.469051287255816
2000-12,40.74893699682207,38.78246583173567
2001-01,41.177582931205656,39.125552867957246
2001-02,41.21084075129796,39.45596627721802
2001-03,41.86865734749185,39.80286813854099
2001-04,42.34164576411227,40.17456852395254
2001-05,43.003529311504636,40.56550007891749
2001-06,42.73870618827963,40.902171497669165
2001-07,43.634534275645656,41.29593165809251
2001-08,43.86610175009018,41.66770331856711
2001-09,43.04828498538121,41.957897189547616
2001-10,43.4882058037187,42.258739550891455
2001-11,44.35340034896311,42.623368871209415
2001-12,45.03456446056978,42.98050449318839
2002-01,44.16174775760363,43.229184895388215
2002-02,44.79357783769582,43.5277463192547
2002-03,45.4362836998607,43.82504851528544
2002-04,44.47342291495745,44.002696611189215
2002-05,44.832540555033766,44.15511421481663
2002-06,45.383325138036064,44.37549912729634
2002-07,45.35550542728926,44.51891338993331
2002-08,46.96983644537661,44.77755794787384
2002-09,48.30503916998089,45.21562079659048
2002-10,47.061800165597695,45.51342032674706
2002-11,48.91882048308317,45.8938720045904
2002-12,51.78616364271409,46.45650526976908
2003-01,50.14109495996117,46.954784203298885
2003-02,50.20174575966006,47.405464863462576
2003-03,51.73289229735525,47.930182246587115
2003-04,52.295446258881064,48.582017525247416
2003-05,51.75715542673775,49.15906876455609
2003-06,53.39785725376534,49.826946440866855
2003-07,55.32839915118265,50.65802091785798
2003-08,56.37906940634543,51.44212366460538
2003-09,59.15325293721857,52.34614147854185
2003-10,60.152166036954604,53.437005301154926
2003-11,62.54334661766989,54.572382479037145
2003-12,64.76890430101962,55.654277533895936
2004-01,63.36110967341235,56.75594542668353
2004-02,63.46462398426582,57.86118527873402
2004-03,65.95931887583458,59.046720826940636
2004-04,60.35401894311888,59.71826855062712
2004-05,60.83018477304487,60.47435432948604
2004-06,61.17178199886134,61.12218139157738
2004-07,61.26494487862947,61.61689353553127
2004-08,62.77107810154754,62.149560926798124
2004-09,63.04539102530925,62.47390576747236
2004-10,63.97184410744785,62.79221227334679
2004-11,65.43139589048185,63.03288304608113
2004-12,63.614719735003355,62.9367009989131
2005-01,64.1374670048134,63.00139744319653
2005-02,65.45209875265255,63.16702034056208
2005-03,66.39407898141918,63.20325034936079
2005-04,68.94053102841467,63.918793023135436
2005-05,70.0998913099736,64.6912685678795
2005-06,72.05113606956162,65.59788140710452
2005-07,71.62155167951968,66.46093197384538
2005-08,70.99529009885616,67.1462829736211
2005-09,72.31509756223798,67.91875851836515
2005-10,72.51695046840226,68.63085071511135
2005-11,70.44148853579006,69.04835843555371
2005-12,69.41669685834067,69.53185652916514
2006-01,71.63190311060504,70.15639287131445
2006-02,73.2363749288339,70.80508255266291
2006-03,74.28186946845402,71.46239842658248
2006-04,76.84384866207753,72.1210082293877
2006-05,79.53522074426789,72.90728568224559
2006-06,82.13342994669013,73.74747683867295
2006-07,82.51125718130531,74.65495229715508
2006-08,79.43688214895708,75.35841830133016
2006-09,80.27534806687024,76.02177251004953
2006-10,81.98850991149526,76.81106913030727
2006-11,83.31349309041974,77.8837361765264
2006-12,85.10946638372755,79.19146697030864
2007-01,81.0517053982713,79.97645049428084
2007-02,79.8095336680296,80.52421372254715
2007-03,81.87981988509911,81.15737625726756
2007-04,81.82806272967237,81.57272742956714
2007-05,81.70384555664822,81.75344616393217
2007-06,81.87981988509911,81.7323119921329
2007-07,82.16448423994616,81.70341424701964
2007-08,83.90352466228457,82.0756344564636
2007-09,83.21515449510895,82.3206183254835
2007-10,81.23285544226488,82.25764711971429
2007-11,79.70084364163345,81.9565929989821
2007-12,79.5559236064386,81.49379776754135
2008-01,82.21106567983023,81.59041112433793
2008-02,84.91796490864861,82.01611372772285
2008-03,80.76704104342426,81.92338215758328
2008-04,83.01330158894467,82.02215206252264
2008-05,84.75234201128305,82.27619343374222
2008-06,88.38569432224006,82.8183496368373
2008-07,87.6041612752963,83.2716560564498
2008-08,89.43636457740283,83.73272604937632
2008-09,90.1506133222918,84.31068095164157
2008-10,90.50256197919363,85.08315649638563
2008-11,90.09885616686508,85.94965754015493
2008-12,91.72403084726463,86.96366647689042
2009-01,92.56249676517778,87.82628573400272
2009-02,92.64530821386057,88.47023100943706
2009-03,93.13700119041457,89.50106102168625
2009-04,94.06345427255319,90.42190707865363
2009-05,95.4194917447337,91.31083622310786
2009-06,96.62543346617669,91.99748115176924
2009-07,98.44728533719787,92.90107482359436
2009-08,97.70715801459552,93.59030761002708
2009-09,98.51974535479529,94.28773527940238
2009-10,99.07354691786139,95.00198402429135
2009-11,100.0,95.82707934371928
2009-12,101.94063652598481,96.6784631502793
2010-01,102.55253242965945,97.51096612231943
2010-02,104.99290010397803,98.53993211316254
2010-03,104.58998688168296,99.4943475874349
2010-04,105.13842681274497,100.41726196578422
2010-05,106.52185325320949,101.3424587581572
2010-06,108.61,102.3411726359758
2010-07,108.84,103.20723219120931
2010-08,110.42,104.26663568999301
2010-09,111.71,105.36582357709342
2010-10,111.99170222545368,106.44233651939281
2010-11,111.32784236491817,107.38632338313596
2010-12,112.49185554547942,108.26559163476053
2011-01,113.01123277811232,109.13714999713159
2011-02,115.49781522312327,110.0125595903937
2011-03,117.47258666847429,111.08610957262631
2011-04,117.93766017776338,112.15271235304449
2011-05,118.97927844870489,113.19083111933578
2011-06,119.80818916385616,114.12401354965715
2011-07,119.85278263623022,115.04174543600965
2011-08,121.08136242711873,115.93019230493621
2011-09,122.67292181944862,116.8437691232236
2011-10,123.9540551631924,117.84063186803517
2011-11,123.49124309156679,118.85424859525587
2011-12,123.63081151934033,119.78249492641095
2012-01,129.22203906172373,121.13339545004523
2012-02,129.36793651552796,122.28923889107894
2012-03,134.48699411292435,123.70710617811648
2012-04,134.70308736179967,125.10422511011949
2012-05,136.3,126.5476185727274
2012-06,136.22421974604507,127.91562112124315
2012-07,136.50938608928723,129.3036714089979
2012-08,137.06224987695114,130.63541202981727
2012-09,137.68,131.88600187819657
2012-10,138.0755038279362,133.06278926692522
2012-11,138.7406867421167,134.33357623780438
2012-12,139.61419267792581,135.66552466768647
2013-01,140.33909342088904,136.5919458642836
2013-02,140.50702038679532,137.52020285355587
2013-03,142.9078684776818,138.22194238395232
2013-04,142.28207249346912,138.85352447825812
2013-05,141.8603462839323,139.31688666858582
2013-06,142.1842783435335,139.81355821837653
2013-07,145.08657285304582,140.52832378202308
2013-08,146.324686853334,141.30019353005497
2013-09,147.846273316838,142.1473829731248
2013-10,148.61669593888786,143.02581564903747
2013-11,149.54165350503933,143.92589621261433
2013-12,150.812343418271,144.85907544097645
2014-01,150.70415520167356,145.72283058937515
2014-02,151.78113986848416,146.66234054618255
2014-03,152.542319137755,147.46521143452196
2014-04,153.114792241604,148.36793808019988
2014-05,154.009003185213,149.38032615530662
2014-06,154.99254640073906,150.4476818267404
2014-07,155.354715682884,151.30336039589358
2014-08,156.03804851234372,152.11280720081103
2014-09,157.066903179722,152.88119302271807
2014-10,157.99015838921468,153.6623148935786
2014-11,158.93484606991115,154.44508094065128
2014-12,160.23897917639394,155.23063392049485
2015-01,161.41384439229896,156.12310801971364
2015-02,162.53376319165505,157.0191599633112
2015-03,163.9304223276235,157.9681685624669
2015-04,164.86972197254423,158.94774604004527
2015-05,166.74948727897197,160.00945304785853
2015-06,167.94814370893042,161.08908615687446
2015-07,168.93316421475186,162.22062353453018
2015-08,169.83866364326065,163.3706747954399
2015-09,170.8488795696013,164.51917282792985
2015-10,171.529640323065,165.647462989084
2015-11,172.42091544720483,166.77130210385846
2015-12,173.7601712381104,167.8980681090015
2016-01,175.17643334665553,169.04495052186456
2016-02,177.9466072682671,170.32935419491557
2016-03,180.8372046707834,171.73825272351223
2016-04,182.6592717464684,173.2207152046726
2016-05,187.26070218198652,174.92998311325712
2016-06,190.319139677816,176.7942327773309
2016-07,191.9604723626818,178.71317512299174
2016-08,193.40915112582806,180.6773824132057
2016-09,194.9660996736489,182.68715075520967
2016-10,196.53086967600694,184.77058653462151
2016-11,198.05486160130658,186.90674871412998
2016-12,199.30570338384553,189.03554305960782
2017-01,200.6422038805493,191.15769060409903
