Month,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,All Items
1996-12,23.92752586228853,34.33630127024184,24.662323999204208
1997-01,23.79884091981425,34.27745529722242,24.84480118408376
1997-02,23.683637880880312,34.114283596653024,25.123622144683043
1997-03,23.94514407411418,34.51942870505978,26.21953841567697
1997-04,24.13926492810641,34.95453145331195,26.367023814659436
1997-05,24.386580109456013,35.175515223205366,26.696249047892845
1997-06,24.21136702643885,35.03329808457438,27.09455556440211
1997-07,24.29000379853732,34.969914261741756,27.983301752707092
1997-08,24.15209003700757,35.14321538287626,27.223536821655742
1997-09,24.621141991758037,35.64938824893428,26.304865261739707
1997-10,24.33504969118391,35.67297537089522,26.3739674473376
1997-11,24.5288804550261,35.82473394955053,26.163431601938775
1997-12,25.19701165558898,36.653667014037914,27.275830660940244
1998-01,25.333216870037628,36.93285023027632,27.174659392540075
1998-02,25.644552530071202,36.68681088387052,27.430398119644472
1998-03,26.03350248181914,36.45996051406667,27.909421263097805
1998-04,26.17501410697275,36.51330038297681,28.657429122204352
1998-05,26.68429413883997,36.86621309554342,28.88559086242022
1998-06,28.11312148861574,37.10458750099126,29.911516124211545
1998-07,28.138450988328856,36.413832614198185,30.812093923511284
1998-08,28.477878967563026,37.02549540297078,30.67383726724418
1998-09,29.036092389989847,36.91963809743456,29.930666617353175
1998-10,29.572567161431767,37.09152587586376,29.888212427819294
1998-11,31.840199916068467,37.13783214403846,30.349104342767795
1998-12,32.05551185451191,37.81252386471653,30.588371903617585
1999-01,32.60381950345545,37.666315650012194,30.966088435942368
1999-02,32.54575057766457,37.51466821312415,31.184568580956007
1999-03,32.49462742951354,37.59996037771738,31.565751628835635
1999-04,32.71967237835267,37.480570549236205,31.78760830936343
1999-05,32.77252267489325,38.24425585343107,32.05657720613949
1999-06,32.84641046971114,38.81696137869785,32.33680179180857
1999-07,32.57352691134961,38.60572479813959,31.92626213951455
1999-08,32.0838897666484,38.39128494982542,30.696949870826135
1999-09,31.452011931273603,38.65945163706956,30.614449763070457
1999-10,31.38430582068753,38.781595595239395,30.347245722326804
1999-11,31.52684626339937,38.954090912986175,30.32280762433531
1999-12,32.431697463222264,39.61797113535597,30.71338163795253
2000-01,32.11849486274608,39.46641874636981,30.35095111350248
2000-02,32.31138416880854,39.536226142866525,30.761269200839326
2000-03,32.93822521826104,40.10020679592689,31.11626709266017
2000-04,33.63829608911083,40.357467808650775,31.729969393138095
2000-05,34.99418187185104,40.815825638111455,32.75962379305374
2000-06,37.81351342517564,41.15117579577906,34.239533143104886
2000-07,37.48104069084512,41.23795151148848,34.042547066307414
2000-08,39.03274388427885,41.61486214957012,34.813252749919194
2000-09,41.16022519727923,41.95689165040364,35.37177257702714
2000-10,41.78499639172688,42.36508839257305,35.55121780045344
2000-11,40.11699925294209,42.303648710541445,34.90390439309483
2000-12,39.69595021699464,43.27647526096675,34.968428442390035
2001-01,39.97567060784113,43.48608681839451,35.72705215032494
2001-02,40.2588212214362,43.339254476930314,36.33764951374639
2001-03,39.418088255777576,44.082219441143884,36.4671126502793
2001-04,39.05763801198547,44.69790988019457,38.94045447889084
2001-05,39.00097584422042,45.657616926254214,40.3095859890982
2001-06,35.910092229407574,44.89357962124777,39.52415336729768
2001-07,37.57016489416539,46.18835413808516,40.51572291783851
2001-08,38.51944924330423,46.009055501796105,41.38617973185477
2001-09,38.254275832636914,45.284416864184266,41.661001672274836
2001-10,39.965736575585765,45.35912543796201,42.325014192942135
2001-11,39.428915520652154,46.13502353076573,40.9488437946287
2001-12,39.51583339258883,46.758368629777266,40.715516782499726
2002-01,41.92159016947661,45.75381981846415,42.223571738451696
2002-02,42.1628246244966,46.64718746722963,43.003545255110836
2002-03,42.11457181720711,47.49300753981191,43.00298324705272
2002-04,42.797820900464615,46.399105395970714,44.06330511670341
2002-05,42.20353178954375,46.24737249963671,44.291386720289935
2002-06,43.34351180642934,47.48485834956966,44.28614131174749
2002-07,42.81321597784961,47.30153258944147,46.75597939116001
2002-08,44.33684845526179,49.47559669104445,46.624844177598966
2002-09,44.61206634013939,50.27648156578471,46.02124752317944
2002-10,45.18856581984638,48.851897022425476,44.38233835769549
2002-11,47.80958642600654,51.036307771880864,46.09046818233772
2002-12,48.31592327217611,54.40077572022557,45.75326334746648
2003-01,48.871230534951565,52.23912285320578,46.81452189721404
2003-02,48.47414635137339,53.05309999320773,46.12671770208639
2003-03,49.35497243735912,55.10985781633163,45.59899213551289
2003-04,50.106620510190545,54.75550309437141,47.643109110900454
2003-05,49.5785820525533,53.76344086021505,48.01459643731694
2003-06,52.588001983143286,54.795698924731184,50.2952897680895
2003-07,60.94199305899851,56.903225806451616,51.81735247515245
2003-08,56.782350024789295,57.78494623655914,51.0059057953618
2003-09,59.73227565691622,60.18279569892473,53.67071589763288
2003-10,63.83738225086763,62.45161290322581,54.53497863350458
2003-11,64.1497273177987,65.59139784946237,54.8710808085658
2003-12,64.62072384729797,67.30645161290323,56.69083401354011
2004-01,67.78383738225087,65.7795698924731,57.17578143755701
2004-02,68.57213683688647,65.84408602150538,57.415854419743596
2004-03,63.034209221616265,68.89784946236558,54.246891054880685
2004-04,59.6678235002479,62.204301075268816,54.794257454266095
2004-05,61.39811601388201,63.44623655913979,56.878090939645645
2004-06,58.973723351512156,63.682795698924735,56.815671964277136
2004-07,63.61427863163114,63.63978494623657,57.67033178086138
2004-08,62.04759543877045,65.63978494623656,57.82397848946079
2004-09,61.71541893901835,65.62903225806451,58.659432467470104
2004-10,64.68021814576103,66.48924731182795,60.03745138522111
2004-11,64.29846306395636,67.98387096774194,60.027848465933644
2004-12,68.4680218145761,66.18279569892472,61.98540356268306
2005-01,67.14923153197819,66.20430107526882,61.77557977625197
2005-02,66.91621219633119,67.98924731182795,62.81749651894176
2005-03,65.04709965294992,68.97849462365592,63.83060450376914
2005-04,68.15071888943976,71.60215053763442,64.98295481826474
2005-05,70.57511155180963,72.83870967741935,65.7463869016181
2005-06,68.99355478433317,74.95161290322581,66.51942190425889
